id|name|url|latin_name|other_names|group|odor_profile|main_icon|alt_icons|background|fragrance_count|note_name_de|note_name_es|note_name_fr|note_name_cs|note_name_it|note_name_ru|note_name_pl|note_name_pt|note_name_el|note_name_zh|note_name_ja|note_name_nl|note_name_sr|note_name_ro|note_name_ar|note_name_uk|note_name_mn|note_name_ko|note_name_tr|note_name_sv|note_name_he|note_name_hu|note_group_de|note_group_es|note_group_fr|note_group_cs|note_group_it|note_group_ru|note_group_pl|note_group_pt|note_group_el|note_group_zh|note_group_ja|note_group_nl|note_group_sr|note_group_ro|note_group_ar|note_group_uk|note_group_mn|note_group_ko|note_group_tr|note_group_sv|note_group_he|note_group_hu
n184|Red Berries|https://www.fragrantica.com/notes/Red-Berries-184.html|||Fruits, vegetables and nuts|A general name for tangy and sweet red fruit notes.|https://fimgs.net/mdimg/sastojci/t.184.jpg|https://fimgs.net/mdimg/sastojci/t2.184.jpg;https://fimgs.net/mdimg/sastojci/t3.184.jpg|https://fimgs.net/mdimg/sastojci/splash.184.jpg|1537|rote Beeren|bayas rojas|Fruits rouges|Červené bobule|Bacche Rosse|Красные ягоды|Czerwone jagody|Bagas Vermelhas|κόκκινα μούρα|红浆果|赤いベリー|Rode bessen (Aalbes)|Crveno voće|fructe rosii|التوت الأحمر|Червоні Ягоди|Улаан Жимсгэнэ|빨간 딸기|Kırmızı meyveler|Röda bär|פירות יער אדומים|Piros bogyós gyümölcsök|Früchte, gemüse & nüsse|Frutas, vegetales y nueces|Notes fruitées à coque|Ovoce, zelenina a ořechy|Frutti, verdure e frutta secca|Фрукты, овощи и орехи|Owoce, warzywa i orzechy|Frutas, vegetais & nozes|Φρουτα, λαχανικα και ξηροι καρποι|水果，蔬菜和坚果类香调|フルーツ、野菜＆ナッツ|Fruit, groente & noten|Voće, povrće i oraščići|Fructe, legume & nuci|الفواكة و الخضروات و المكسرات|Фрукти, овочі та горіхи|Жимс, ногоо, самар|과일, 채소 및 견과류|Meyveler, sebzeler ve kuruyemişler|Frukt, grönsaker och nötter|פירות, ירקות ואגוזים|Gyümölcsök, zöldségek és diófélék
n200|Sugar|https://www.fragrantica.com/notes/Sugar-200.html|Methyl cyclopentenolone||Sweets and gourmand smells|A very popular sugary sweet accord can be also fruity, chocolate or compliment any other note.|https://fimgs.net/mdimg/sastojci/t.200.jpg|https://fimgs.net/mdimg/sastojci/t2.200.jpg;https://fimgs.net/mdimg/sastojci/t3.200.jpg|https://fimgs.net/mdimg/sastojci/splash.200.jpg|2201|Zucker|azúcar|Sucre|Cukr|Zucchero|Сахар|Cukier|Açúcar|ζάχαρη|糖|砂糖|Suiker|Šećer|zahar|السكر|Цукор|Сахар|설탕|Şeker|Socker|סוכר|Cukor|Naschwerk & gourmand|Aromas dulces y gourmand|Notes fruitées et gourmandes|Sladké a gurmánské vůně|Aromi dolci e gourmand|Сладкие и гурманские|Nuty słodkie i gourmand|Doces & cheiros gourmand|Γλυκες και gourmand μυρωδιες|糖果和美食类香调|スイーツ＆グルマン|Zoetigheden en gourmands|Slatki i gurmanski mirisi|Mirosuri dulci & gurmande|الحلوي و النكهات|Солодкі, гурманські запахи|Чихэрлэг ба гурманд үнэрүүд|달콤한 향 및 구어망드|Tatlilar ve gurme kokular|Sötsaker och gourmanddofter|ממתקים וריחות גורמאנד|Édességek és gourmand illatok
n227|Papaya|https://www.fragrantica.com/notes/Papaya-227.html|||Fruits, vegetables and nuts|a tropical fruit note, sweet, fleshy and fresh.|https://fimgs.net/mdimg/sastojci/t.227.jpg|https://fimgs.net/mdimg/sastojci/t2.227.jpg;https://fimgs.net/mdimg/sastojci/t3.227.jpg|https://fimgs.net/mdimg/sastojci/splash.227.jpg|257|Papaya|papaya|Papaye|Papája|Papaya|Папайя|Papaja|Mamão Papaia|παπάγια|番木瓜|パパイア|Papaja|Papaja|papaya|البابايا|Папая|Папайя|파파야|Papaya|Papaya|פפאיה|Papaja|Früchte, gemüse & nüsse|Frutas, vegetales y nueces|Notes fruitées à coque|Ovoce, zelenina a ořechy|Frutti, verdure e frutta secca|Фрукты, овощи и орехи|Owoce, warzywa i orzechy|Frutas, vegetais & nozes|Φρουτα, λαχανικα και ξηροι καρποι|水果，蔬菜和坚果类香调|フルーツ、野菜＆ナッツ|Fruit, groente & noten|Voće, povrće i oraščići|Fructe, legume & nuci|الفواكة و الخضروات و المكسرات|Фрукти, овочі та горіхи|Жимс, ногоо, самар|과일, 채소 및 견과류|Meyveler, sebzeler ve kuruyemişler|Frukt, grönsaker och nötter|פירות, ירקות ואגוזים|Gyümölcsök, zöldségek és diófélék
n230|Dried Fruits|https://www.fragrantica.com/notes/Dried-Fruits-230.html|||Fruits, vegetables and nuts|notes that recall sweet, sticky fruits, such as dates, figs, dried apricot skins and liquorice.|https://fimgs.net/mdimg/sastojci/t.230.jpg|https://fimgs.net/mdimg/sastojci/t2.230.jpg;https://fimgs.net/mdimg/sastojci/t3.230.jpg|https://fimgs.net/mdimg/sastojci/splash.230.jpg|567|Trockenfrüchte|frutas secas|Fruits secs|Sušené ovoce|Frutti Essiccati|Сухофрукты|Suszone owoce|Frutas Secas|Αποξηραμμένα φρούτα|干果|ドライフルーツ|Tutti Frutti|sušeno voće|fructe uscate|الفواكه المجففة|Сухофрукти|Хатаасан Жимс|건과일|Kuru meyveler|Torkad frukt|פירות יבשים|Aszalt gyümölcsök|Früchte, gemüse & nüsse|Frutas, vegetales y nueces|Notes fruitées à coque|Ovoce, zelenina a ořechy|Frutti, verdure e frutta secca|Фрукты, овощи и орехи|Owoce, warzywa i orzechy|Frutas, vegetais & nozes|Φρουτα, λαχανικα και ξηροι καρποι|水果，蔬菜和坚果类香调|フルーツ、野菜＆ナッツ|Fruit, groente & noten|Voće, povrće i oraščići|Fructe, legume & nuci|الفواكة و الخضروات و المكسرات|Фрукти, овочі та горіхи|Жимс, ногоо, самар|과일, 채소 및 견과류|Meyveler, sebzeler ve kuruyemişler|Frukt, grönsaker och nötter|פירות, ירקות ואגוזים|Gyümölcsök, zöldségek és diófélék
n243|Champaca|https://www.fragrantica.com/notes/Champaca-243.html|||Flowers|A warm heady floral.|https://fimgs.net/mdimg/sastojci/t.243.jpg|https://fimgs.net/mdimg/sastojci/t2.243.jpg;https://fimgs.net/mdimg/sastojci/t3.243.jpg|https://fimgs.net/mdimg/sastojci/splash.243.jpg|538|Champaka|champaca|Champaca|Magnólie champaca|Champaca|Чампака|Magnolia champaka|Champaca|Σαμπάκα|黄兰花|チャンパカの花|Champaca|Champaca|Champaca|زهر تشمباكا|Чампака|Чампака Цэцэг|참파카 꽃|Çampaka çiçeği|Champakablomma|צ'אמפה|Champaca|Blumen|Flores|Fleurs|Květiny|Fiori|Цветы|Kwiaty|Flores|Λουλουδια|花香类香调|花|Bloemen|Cveće|Flori|الزهور|Квіти|Цэцэгсийн|플라워|Çiçekler|Blommor|פרחים|Virágok
n318|Green Accord|https://www.fragrantica.com/notes/Green-Notes-318.html|||Greens, herbs and fougeres|A generic term for notes that evoke snapped leaves, foliage, green vegetal scents.|https://fimgs.net/mdimg/sastojci/t.318.jpg|https://fimgs.net/mdimg/sastojci/t2.318.jpg;https://fimgs.net/mdimg/sastojci/t3.318.jpg|https://fimgs.net/mdimg/sastojci/splash.318.jpg|2479|grüne Akkorde|acordes verdes|Accord vert|Zelený tón|Accordo Verde|Зеленые ноты|Akord zieleni|Acorde Verde|Πράσινο ακόρντο|绿色元素|グリーンノート|Groen accoord|zelene note|acorduri verzi|الإتفاقات الخضراء|Зелений Акорд|Ногоон Аккорд|녹색 노트|Yeşil Notalar|Gröna toner|תמצית ירוקה|Zöld akkord|Grüne noten, kräuter & fougere-noten|Verdes, herbales y fougères|Notes vertes, herbacées et fougères|Zeleň, bylinky a kapradiny|Note verdi, erbe e fougere|Зеленые, травянистые, фужерные|Zieleń, zioła i fougere|Verdes, ervas & fougères|Πρασινα,βοτανα και φουζερ|绿色，本草和森林类香调|グリーン、ハーブ＆フゼア|Groene bladeren, kruiden en varens|Zelene komponente, bilje i paprat|Plante verzi, ierburi & fougeres|النباتات العشبيه(الجرين) و الأعشاب و الطحالب|Зелені, трав'яні та фужерні аромати|Ногоон, өвслөг, фюжер|그린, 허브 및 푸제르|Yeşi̇lli̇kler, otsi̇ notalar ve fougereler|Grönt, örter och fougères|הירוקים, עשבי תיבול ושרך|Zöldek, fűszernövények és fougère-ek
n341|Persimmon|https://www.fragrantica.com/notes/Persimmon-341.html|||Fruits, vegetables and nuts|a fantasy note reminiscent of sweet pulpy aromatic fruit.|https://fimgs.net/mdimg/sastojci/t.341.jpg|https://fimgs.net/mdimg/sastojci/t2.341.jpg;https://fimgs.net/mdimg/sastojci/t3.341.jpg|https://fimgs.net/mdimg/sastojci/splash.341.jpg|69|Dattelpflaume|caqui (pérsimo)|Kaki|Kaki|Cachi|Хурма|Hurma|Caqui|διόσπυρος|柿子|柿|Sharonvrucht (Persimmon)|Kaki|persimon|برسيمون|Хурма|Илжгэн Чих|감|Kaki|Kaki|אפרסמון|Datolyaszilva|Früchte, gemüse & nüsse|Frutas, vegetales y nueces|Notes fruitées à coque|Ovoce, zelenina a ořechy|Frutti, verdure e frutta secca|Фрукты, овощи и орехи|Owoce, warzywa i orzechy|Frutas, vegetais & nozes|Φρουτα, λαχανικα και ξηροι καρποι|水果，蔬菜和坚果类香调|フルーツ、野菜＆ナッツ|Fruit, groente & noten|Voće, povrće i oraščići|Fructe, legume & nuci|الفواكة و الخضروات و المكسرات|Фрукти, овочі та горіхи|Жимс, ногоо, самар|과일, 채소 및 견과류|Meyveler, sebzeler ve kuruyemişler|Frukt, grönsaker och nötter|פירות, ירקות ואגוזים|Gyümölcsök, zöldségek és diófélék
n346|Tobacco Blossom|https://www.fragrantica.com/notes/Tobacco-Blossom-346.html|||Flowers|summary hay and leather scent with dry floral tonality, very inviting, and not at all smelling like rich pipe tobacco or cigarette ash|https://fimgs.net/mdimg/sastojci/t.346.jpg|https://fimgs.net/mdimg/sastojci/t2.346.jpg;https://fimgs.net/mdimg/sastojci/t3.346.jpg|https://fimgs.net/mdimg/sastojci/splash.346.jpg|178|Tabakblüte|flor del tabaco|Fleur de tabac|Tabákový květ|Fiore di Tabacco|Цветок табака|Kwiat tytoniu|Flor de Tabaco|άνθη ταμπάκου|烟草花|タバコの花|Tabaksplantbloesem|Cvijet duhana|floare de tabac|زهر التبغ|Цвіт Тютюну|Тамхины Цэцэг|담배 꽃|Tütün çiçeği|Tobaksblomma|פריחת הטבק|Dohányvirág|Blumen|Flores|Fleurs|Květiny|Fiori|Цветы|Kwiaty|Flores|Λουλουδια|花香类香调|花|Bloemen|Cveće|Flori|الزهور|Квіти|Цэцэгсийн|플라워|Çiçekler|Blommor|פרחים|Virágok
n348|Cashmeran|https://www.fragrantica.com/notes/Cashmeran-348.html|||Natural and synthetic, popular and weird|A popular synthetic accord with a soft diffusive warm woody musky amber scent, reminiscent of cashmere wool.|https://fimgs.net/mdimg/sastojci/t.348.jpg|https://fimgs.net/mdimg/sastojci/t2.348.jpg;https://fimgs.net/mdimg/sastojci/t3.348.jpg|https://fimgs.net/mdimg/sastojci/splash.348.jpg|2384|Cashmeran|cachemira|Bois de cachemire|Kašmír|Cashmeran|Кашмеран|Drewno kaszmirowe|Cashmeran|κασμήρι|开司米木麝香|カシメラン|Cashmeran|Cashmeran|cashmeran|أخشاب الكشمير|Cashmeran|Кашмеран|카쉬메란|Kaşmir|Cashmeran|קשמירן|Cashmeran|Natürlich & synthetisch, beliebt & ungewöhnlich|Naturales y sintéticas, populares y extrañas|Notes naturelles et notes de synthèse|Přírodní a syntetické, oblíbené a divné|Naturale e sintetico, popolare ed insolito|Натуральные и синтетические, популярные и редкие|Naturalne, syntetyczne i inne|Naturais & sintéticas, populares & estranhas|Φυσικα & συνθετικα, δημοφιλη & παραξενα|天然vs人工，人气vs诡异|天然と合成、ポピュラーと風変わり|Natuurlijk & synthetisch, populair en eigenaardig|Prirodno i sintetičko, popularno i neobično|Natural & sintetic, popular & ciudat|طبيعي و مصطنع ، شائع و غريب|Натуральні і синтетичні, поширені і рідкісні|Байгалын ба химийн гаралтай, сонин содон|천연 및 합성, 대중적 및 독특한 향|Doğal ve senteti̇k, popüler ve siradişi|Naturligt och syntetiskt, populärt och konstigt|טבעי וסינטטי, פופולרי ומוזר|Természetes és szintetikus, népszerű és különleges
n524|Ambergris|https://www.fragrantica.com/notes/Ambergris-524.html|Medium grade||Musk, amber, animalic smells|A product of the intestines of sperm whales found floating on the ocean and blanched by sea and sun with a skin-like salty and warm effect. Synthetically recreated today.|https://fimgs.net/mdimg/sastojci/t.524.jpg|https://fimgs.net/mdimg/sastojci/t2.524.jpg;https://fimgs.net/mdimg/sastojci/t3.524.jpg|https://fimgs.net/mdimg/sastojci/splash.524.jpg|6578|Ambergris|ámbar gris|Ambre gris|Ambra|Ambra Grigia|Серая амбра|Ambra|Âmbar Cinzento|Γκρίζα Άμβρα|龙涎香|アンバーグリス|Ambergris|Ambergris|Ambergris|الآمبرغريس|Сіра Амбра|Халимны Бөөлжис|호박|Amber|Ambra|אמברגריס|Szürke ámbra|Moschus, ambra, animalische düfte|Almizcle, ámbar, aromas animálicos|Musc, ambre, odeurs animales|Pižmo, jantar, zvířecí vůně|Muschio animale, ambra, sentori animali|Анималистические ноты|Piżmo, ambra, nuty zwierzęce|Almíscar, âmbar, cheiros animálicos|Μοσχος,κεχριμπαρι και ζωωδεις μυρωδιες|麝香，龙涎香，动物类气味香调|ムスク、アンバー、アニマリック|Musk, amber, dierlijke geuren|Mošus, amber i životinjske komponente|Mosc, ambra, mirosuri animalice|المسك، العنبر، و المكونات ذات الأصل الحيواني|Мускус, амбра, анімалістичні ноти|Заар, хув, амьтанлаг үнэрүүд|머스크, 앰버, 애니멀릭 향|Misk, amber, ani̇mali̇k kokular|Mysk, ambra, animaliska dofter|מושק, ענבר, וריחות חייתיים|Pézsma, ambra, állatias illatok
n563|Ambroxan|https://www.fragrantica.com/notes/Ambroxan-563.html|Physeter catodon||Musk, amber, animalic smells|A modern synthetic compound with a dry amber musky smell.|https://fimgs.net/mdimg/sastojci/t.563.jpg|https://fimgs.net/mdimg/sastojci/t2.563.jpg;https://fimgs.net/mdimg/sastojci/t3.563.jpg|https://fimgs.net/mdimg/sastojci/splash.563.jpg|3068|Ambroxan|ambroxan|Ambroxan|Ambroxan|Ambroxan|Ambroxan|Ambroksan|Ambroxan|Αμπροξάν|降龙涎香醚Ambroxan|アンブロキサン|Ambroxan|Ambroksan|ambroxan|الأمبروكسان|Амброксан|Амброксан|암브록산|Ambroksan|Ambroxan|אמברוקסאן|Ambroxan|Moschus, ambra, animalische düfte|Almizcle, ámbar, aromas animálicos|Musc, ambre, odeurs animales|Pižmo, jantar, zvířecí vůně|Muschio animale, ambra, sentori animali|Анималистические ноты|Piżmo, ambra, nuty zwierzęce|Almíscar, âmbar, cheiros animálicos|Μοσχος,κεχριμπαρι και ζωωδεις μυρωδιες|麝香，龙涎香，动物类气味香调|ムスク、アンバー、アニマリック|Musk, amber, dierlijke geuren|Mošus, amber i životinjske komponente|Mosc, ambra, mirosuri animalice|المسك، العنبر، و المكونات ذات الأصل الحيواني|Мускус, амбра, анімалістичні ноти|Заар, хув, амьтанлаг үнэрүүд|머스크, 앰버, 애니멀릭 향|Misk, amber, ani̇mali̇k kokular|Mysk, ambra, animaliska dofter|מושק, ענבר, וריחות חייתיים|Pézsma, ambra, állatias illatok
n578|Chestnut|https://www.fragrantica.com/notes/Chestnut-578.html|||Fruits, vegetables and nuts||https://fimgs.net/mdimg/sastojci/t.578.jpg||https://fimgs.net/mdimg/sastojci/splash.578.jpg|310|Kastanie|castaña|Châtaigne|Kaštan|Castagna|Каштан|Kasztan|Castanha|κάστανο|板栗|栗|Kastanje|Kesten|castan|الكستناء|Каштан|Туулайн Бөөр|밤나무|Kestane|Kastanj|ערמון|Gesztenye|Früchte, gemüse & nüsse|Frutas, vegetales y nueces|Notes fruitées à coque|Ovoce, zelenina a ořechy|Frutti, verdure e frutta secca|Фрукты, овощи и орехи|Owoce, warzywa i orzechy|Frutas, vegetais & nozes|Φρουτα, λαχανικα και ξηροι καρποι|水果，蔬菜和坚果类香调|フルーツ、野菜＆ナッツ|Fruit, groente & noten|Voće, povrće i oraščići|Fructe, legume & nuci|الفواكة و الخضروات و المكسرات|Фрукти, овочі та горіхи|Жимс, ногоо, самар|과일, 채소 및 견과류|Meyveler, sebzeler ve kuruyemişler|Frukt, grönsaker och nötter|פירות, ירקות ואגוזים|Gyümölcsök, zöldségek és diófélék
n640|Hedione|https://www.fragrantica.com/notes/Hedione-640.html|||Natural and synthetic, popular and weird|A fresh floral fragrance reminiscent of jasmine with green nuances.|https://fimgs.net/mdimg/sastojci/t.640.jpg|https://fimgs.net/mdimg/sastojci/t2.640.jpg|https://fimgs.net/mdimg/sastojci/splash.640.jpg|629|Hedione|Hedione|Hedione|Hedione|Hedione|Гедион|Hedione|Hedione|Εδιόνη|希蒂莺Hedione|ヘディオン|Hedione|Hedione|Hedione|جزئ هديون|Hedione|Гедион|헤디온|Hedion|Hedion|הדיאון|Hedione|Natürlich & synthetisch, beliebt & ungewöhnlich|Naturales y sintéticas, populares y extrañas|Notes naturelles et notes de synthèse|Přírodní a syntetické, oblíbené a divné|Naturale e sintetico, popolare ed insolito|Натуральные и синтетические, популярные и редкие|Naturalne, syntetyczne i inne|Naturais & sintéticas, populares & estranhas|Φυσικα & συνθετικα, δημοφιλη & παραξενα|天然vs人工，人气vs诡异|天然と合成、ポピュラーと風変わり|Natuurlijk & synthetisch, populair en eigenaardig|Prirodno i sintetičko, popularno i neobično|Natural & sintetic, popular & ciudat|طبيعي و مصطنع ، شائع و غريب|Натуральні і синтетичні, поширені і рідкісні|Байгалын ба химийн гаралтай, сонин содон|천연 및 합성, 대중적 및 독특한 향|Doğal ve senteti̇k, popüler ve siradişi|Naturligt och syntetiskt, populärt och konstigt|טבעי וסינטטי, פופולרי ומוזר|Természetes és szintetikus, népszerű és különleges
n691|Amberwood|https://www.fragrantica.com/notes/Amberwood-691.html|||Resins and balsams||https://fimgs.net/mdimg/sastojci/t.691.jpg|https://fimgs.net/mdimg/sastojci/t2.691.jpg|https://fimgs.net/mdimg/sastojci/splash.691.jpg|1764|Amberwood|Amberwood|Amberwood|Jantarové dřevo|Amberwood|Амбервуд|Drzewo bursztynowe|Madeira de Âmbar|αμπερόξυλο|琥珀木|アンバーウッド|Amberhout|Amberwood|lemn ambrat|خشب العنبر|Амбервуд|Хув Мод|호박나무|Amber ağacı|Ambra trä|עץ ענבר|Borostyánfa|Harze & balsame|Resinas y bálsamos|Resines et baumes|Pryskyřice a balzámy|Resine e balsami|Смолы и бальзамы|Żywice i balsamy|Resinas & bálsamos|Ρητινες και βαλσαμα|树脂和香脂类香调|樹脂＆バルサム|Harsen en balsems|Smole i balzami|Rasini & balsamuri|الراتنجات(الصمغيات) و البلسم|Смоли і бальзами|Давирхай ба бальзам|레진 및 발삼|Reçi̇neler ve balsamlar|Hartser och balsamer|שרף ועצי אשוח|Gyanták és balzsamok
n712|Flint|https://www.fragrantica.com/notes/Flint-712.html|||Natural and synthetic, popular and weird||https://fimgs.net/mdimg/sastojci/t.712.jpg||https://fimgs.net/mdimg/sastojci/splash.712.jpg|37|Flint|Sílex|Silex|Pazourek|Selce|Кремень|Krzemień|Sílex|τσακμακόπετρα|燧石|火打ち石|Vuursteen|Kremen|silex|حجر الصوان|Кремінь|Цахиур|석영|Çakmak taşı|Flinta|צור|Tűzkő|Natürlich & synthetisch, beliebt & ungewöhnlich|Naturales y sintéticas, populares y extrañas|Notes naturelles et notes de synthèse|Přírodní a syntetické, oblíbené a divné|Naturale e sintetico, popolare ed insolito|Натуральные и синтетические, популярные и редкие|Naturalne, syntetyczne i inne|Naturais & sintéticas, populares & estranhas|Φυσικα & συνθετικα, δημοφιλη & παραξενα|天然vs人工，人气vs诡异|天然と合成、ポピュラーと風変わり|Natuurlijk & synthetisch, populair en eigenaardig|Prirodno i sintetičko, popularno i neobično|Natural & sintetic, popular & ciudat|طبيعي و مصطنع ، شائع و غريب|Натуральні і синтетичні, поширені і рідкісні|Байгалын ба химийн гаралтай, сонин содон|천연 및 합성, 대중적 및 독특한 향|Doğal ve senteti̇k, popüler ve siradişi|Naturligt och syntetiskt, populärt och konstigt|טבעי וסינטטי, פופולרי ומוזר|Természetes és szintetikus, népszerű és különleges
n1943|Black Violet|https://www.fragrantica.com/notes/Violet-116.html|||Flowers|A sweet and powdery, airy and dewy floral note.|https://fimgs.net/mdimg/sastojci/t.116.jpg|https://fimgs.net/mdimg/sastojci/t2.116.jpg;https://fimgs.net/mdimg/sastojci/t3.116.jpg|https://fimgs.net/mdimg/sastojci/splash.116.jpg|63|schwarzes Veilchen|violeta negra|Violette noire|Černá fialka|Violetta Nera|Черная фиалка|Czarny fiołek|Violeta Negra|μαύρη βιολέτα|黑色紫罗兰（香菫菜）|すみれ|Zwart Viooltje|Crna ljubičica|violeta neagra|البنفسج الأسود|Чорна Фіалка|Хар Нил Цэцэг|제비꽃|Menekşe|Viol|סיגלית שחורה|Fekete ibolya|Blumen|Flores|Fleurs|Květiny|Fiori|Цветы|Kwiaty|Flores|Λουλουδια|花香类香调|花|Bloemen|Cveće|Flori|الزهور|Квіти|Цэцэгсийн|플라워|Çiçekler|Blommor|פרחים|Virágok
n1978|Cardamom|https://www.fragrantica.com/notes/Cardamom-63.html|Eletteria cardamomum|cardamon, green cardamom, true cardamom|Spices|A sweet resinous aromatic and spicy note with a bitter aftertaste.|https://fimgs.net/mdimg/sastojci/t.63.jpg|https://fimgs.net/mdimg/sastojci/t2.63.jpg;https://fimgs.net/mdimg/sastojci/t3.63.jpg|https://fimgs.net/mdimg/sastojci/splash.63.jpg|7411|Kardamom|cardamomo|Cardamome|Kardamom|Cardamomo|Кардамон|Kardamon|Cardamomo|Κάρδαμο|小豆蔻|カルダモン|Kardemom|Kardamon|cardamom|الهيل|Кардамон|Кардамон|카르다몬|Kakule|Kardemumma|הל|Kardamom|Gewürze|Especias|Epices|Koření|Spezie|Пряности|Przyprawy|Especiarias|Μπαχαρικα|香料系香调|スパイス|Specerijen|Začini|Mirodenii|التوابل|Прянощі|Амтлагчууд|스파이스|Baharatlar|Kryddor|תבלינים|Fűszerek
n1984|Cassis|https://www.fragrantica.com/notes/Currant-Leaf-and-Bud-337.html|||Fruits, vegetables and nuts|"leaves and buds of blackcurrants, also known as bourgeons de cassis, have a characteristic green & ammoniac scent reminiscent of ""cat piss""."|https://fimgs.net/mdimg/sastojci/t.337.jpg|https://fimgs.net/mdimg/sastojci/t2.337.jpg;https://fimgs.net/mdimg/sastojci/t3.337.jpg|https://fimgs.net/mdimg/sastojci/splash.337.jpg|1342|schwarze Johannisbeere|casis (grosellero negro)|Bourgeon de cassis|Černý rybíz|Ribes Nero|Лист черной смородины|Liść czarnej porzeczki|Cassis|μαύρο φραγκοστάφυλο|黑醋栗叶|スグリの葉とつぼみ|Cassis|List i pupoljak ribizle|coacaze|الكشمش الأسود|Листя Чорної Смородини|Үхрийн Нүдний Навч|커런트 잎과 꽃봉오리|Frenk üzümü yaprağı ve tomurcuğu|Vinbärsblad och knopp|קסיס|Cassis|Früchte, gemüse & nüsse|Frutas, vegetales y nueces|Notes fruitées à coque|Ovoce, zelenina a ořechy|Frutti, verdure e frutta secca|Фрукты, овощи и орехи|Owoce, warzywa i orzechy|Frutas, vegetais & nozes|Φρουτα, λαχανικα και ξηροι καρποι|水果，蔬菜和坚果类香调|フルーツ、野菜＆ナッツ|Fruit, groente & noten|Voće, povrće i oraščići|Fructe, legume & nuci|الفواكة و الخضروات و المكسرات|Фрукти, овочі та горіхи|Жимс, ногоо, самар|과일, 채소 및 견과류|Meyveler, sebzeler ve kuruyemişler|Frukt, grönsaker och nötter|פירות, ירקות ואגוזים|Gyümölcsök, zöldségek és diófélék
n1985|Cedar|https://www.fragrantica.com/notes/Cedar-41.html|||Woods and mosses|An soft woody note coming from either the Atlas Mountains (Morocco) or the Virginia (US) cedarwood. There are also many cedar-smelling synthetics in use.|https://fimgs.net/mdimg/sastojci/t.41.jpg|https://fimgs.net/mdimg/sastojci/t2.41.jpg;https://fimgs.net/mdimg/sastojci/t3.41.jpg|https://fimgs.net/mdimg/sastojci/splash.41.jpg|15332|Zeder|cedro|Cèdre|Cedr|Legno di Cedro|Кедр|Cedr|Cedro|Κέδρος|雪松|ヒマラヤスギ|Ceder|Kedar|cedru|خشب الأرز|Кедр|Хуш|잣나무|Sedir|Ceder|ארז|Cédrus|Hölzer & moose|Maderas y musgos|Bois et mousses|Dřeva a mechy|Legni e muschi|Деревья и мхи|Drewna i mchy|Madeiras & musgos|Ξυλα και βρυα|木质和苔藓类香调|ウッディ＆モス|Hout en mos|Drveće i mahovine|Lemn & muschi|الأخشاب و الطحالب|Дерева і мохи|Мод ба хөвд|우드 및 모스|Odunlar ve yosunlar|Trä och mossa|עצים ואזוב|Fák és mohák
n2003|Cinnamon|https://www.fragrantica.com/notes/Cinnamon-65.html|Cinnamomum verum||Spices|A sweet and warm, powdery tenacious spicy note.|https://fimgs.net/mdimg/sastojci/t.65.jpg|https://fimgs.net/mdimg/sastojci/t2.65.jpg;https://fimgs.net/mdimg/sastojci/t3.65.jpg|https://fimgs.net/mdimg/sastojci/splash.65.jpg|5616|Zimt|canela|Cannelle|Skořice|Cannella|Корица|Cynamon|Canela|Κανέλα|肉桂|シナモン|Kaneel|Cimet|scortisoara|القرفة|Кориця|Шанц|계피|Tarçın|Kanel|קינמון|Fahéj|Gewürze|Especias|Epices|Koření|Spezie|Пряности|Przyprawy|Especiarias|Μπαχαρικα|香料系香调|スパイス|Specerijen|Začini|Mirodenii|التوابل|Прянощі|Амтлагчууд|스파이스|Baharatlar|Kryddor|תבלינים|Fűszerek
