id|name|url|latin_name|other_names|group|odor_profile|main_icon|alt_icons|background|fragrance_count|note_name_de|note_name_es|note_name_fr|note_name_cs|note_name_it|note_name_ru|note_name_pl|note_name_pt|note_name_el|note_name_zh|note_name_ja|note_name_nl|note_name_sr|note_name_ro|note_name_ar|note_name_uk|note_name_mn|note_name_ko|note_name_tr|note_name_sv|note_name_he|note_name_hu|note_group_de|note_group_es|note_group_fr|note_group_cs|note_group_it|note_group_ru|note_group_pl|note_group_pt|note_group_el|note_group_zh|note_group_ja|note_group_nl|note_group_sr|note_group_ro|note_group_ar|note_group_uk|note_group_mn|note_group_ko|note_group_tr|note_group_sv|note_group_he|note_group_hu
n2011|Cloves|https://www.fragrantica.com/notes/Cloves-61.html|||Spices|A warm spicy note. Eugenol, eugenyl acetate and caryophyllene are, by and large, the main components of any essential oil obtained from the clove plant.|https://fimgs.net/mdimg/sastojci/t.61.jpg|https://fimgs.net/mdimg/sastojci/t2.61.jpg;https://fimgs.net/mdimg/sastojci/t3.61.jpg|https://fimgs.net/mdimg/sastojci/splash.61.jpg|1622|Gewürznelken|clavos de olor|Clou de girofle|Hřebíček|Chiodi di Garofano|Гвоздика (пряность)|Goździk (przyprawa)|Cravo-da-Índia|γαρίφαλο|丁香|クローブ|Kruidnagelen|Karanfilić|cuisoare|القرنفل|Гвоздика|Хатаасан Лиш|클로브|Karanfil|Kryddnejlika|צפורנים|Szegfűszeg|Gewürze|Especias|Epices|Koření|Spezie|Пряности|Przyprawy|Especiarias|Μπαχαρικα|香料系香调|スパイス|Specerijen|Začini|Mirodenii|التوابل|Прянощі|Амтлагчууд|스파이스|Baharatlar|Kryddor|תבלינים|Fűszerek
n2025|Cotton Candy|https://www.fragrantica.com/notes/Cotton-Candy-237.html|Methyl cyclopentenolone|candy floss, fair floss, spun sugar, barbe à papa|Sweets and gourmand smells|a note focused on ethyl maltol, sweet sugary sticky and powdery.|https://fimgs.net/mdimg/sastojci/t.237.jpg|https://fimgs.net/mdimg/sastojci/t2.237.jpg;https://fimgs.net/mdimg/sastojci/t3.237.jpg|https://fimgs.net/mdimg/sastojci/splash.237.jpg|457|Zuckerwatte|algodón de azúcar|Barbe à papa|Cukrová vata|Zucchero Filato|Сахарная вата|Wata cukrowa|Algodão-Doce|μαλλί της γριάς|棉花糖|綿菓子|Suikerspin|Šećerna vuna|vata de zahar|غزل البنات|Цукрова Вата|Хөвөн Чихэр|솜사탕|Pamuk şeker|Sockervadd|צמר גפן מתוק|Vattacukor|Naschwerk & gourmand|Aromas dulces y gourmand|Notes fruitées et gourmandes|Sladké a gurmánské vůně|Aromi dolci e gourmand|Сладкие и гурманские|Nuty słodkie i gourmand|Doces & cheiros gourmand|Γλυκες και gourmand μυρωδιες|糖果和美食类香调|スイーツ＆グルマン|Zoetigheden en gourmands|Slatki i gurmanski mirisi|Mirosuri dulci & gurmande|الحلوي و النكهات|Солодкі, гурманські запахи|Чихэрлэг ба гурманд үнэрүүд|달콤한 향 및 구어망드|Tatlilar ve gurme kokular|Sötsaker och gourmanddofter|ממתקים וריחות גורמאנד|Édességek és gourmand illatok
n2063|Fir Resin|https://www.fragrantica.com/notes/Fir-205.html|||Woods and mosses|Fir absolute is a sweet balsamic, aromatic green spicy fragrance.|https://fimgs.net/mdimg/sastojci/t.205.jpg|https://fimgs.net/mdimg/sastojci/t2.205.jpg;https://fimgs.net/mdimg/sastojci/t3.205.jpg|https://fimgs.net/mdimg/sastojci/splash.205.jpg|141|Tannenharz|resina de abeto|Résine de sapin|Jedlová pryskyřice|Resina di Abete|Еловая смола|Żywica jodłowa|Resina de Abeto|Ρετσίνη ελάτης|冷杉树脂|モミ|Sparhars|Jelova smola|rasina de brad|أصماغ التنوب|Смола Ялиці|Гацуурны Давирхай|전나무|Ladin|Gran|שרף אשוח|Fenyőgyanta|Hölzer & moose|Maderas y musgos|Bois et mousses|Dřeva a mechy|Legni e muschi|Деревья и мхи|Drewna i mchy|Madeiras & musgos|Ξυλα και βρυα|木质和苔藓类香调|ウッディ＆モス|Hout en mos|Drveće i mahovine|Lemn & muschi|الأخشاب و الطحالب|Дерева і мохи|Мод ба хөвд|우드 및 모스|Odunlar ve yosunlar|Trä och mossa|עצים ואזוב|Fák és mohák
n2073|Freesia|https://www.fragrantica.com/notes/Freesia-94.html|Freesia refracta||Flowers|A fresh spicy powdery floral note.|https://fimgs.net/mdimg/sastojci/t.94.jpg|https://fimgs.net/mdimg/sastojci/t2.94.jpg;https://fimgs.net/mdimg/sastojci/t3.94.jpg|https://fimgs.net/mdimg/sastojci/splash.94.jpg|3808|Freesie|fresia|Freesia|Frézie|Fresia|Фрезия|Frezja|Frésia|φρέζια|小苍兰|フリージア|Fresia|Bijela frezija|frezie|الفريزيا|Фрезія|Фрезия|프리지아|Frezya|Freesia|פרחי פריזיה|Frézia|Blumen|Flores|Fleurs|Květiny|Fiori|Цветы|Kwiaty|Flores|Λουλουδια|花香类香调|花|Bloemen|Cveće|Flori|الزهور|Квіти|Цэцэгсийн|플라워|Çiçekler|Blommor|פרחים|Virágok
n2092|Geranium|https://www.fragrantica.com/notes/Geranium-21.html|Pelargonium graveolens|pelargonium, rose geranium|Flowers|Leaves are distilled to give a full rosy nuance with green aromatic undertones.|https://fimgs.net/mdimg/sastojci/t.21.jpg|https://fimgs.net/mdimg/sastojci/t2.21.jpg;https://fimgs.net/mdimg/sastojci/t3.21.jpg|https://fimgs.net/mdimg/sastojci/splash.21.jpg|5826|Geranie|geranio|Géranium|Pelargónie|Geranio|Герань|Geranium|Gerânio|Γεράνι|天竺葵|ゼラニウム|Geranium|Geranijum|muscata|إبره الراعي|Герань|Шимтэглээ Цэцэг|제라늄|Sardunya|Pelargon|גרניום|Muskátli|Blumen|Flores|Fleurs|Květiny|Fiori|Цветы|Kwiaty|Flores|Λουλουδια|花香类香调|花|Bloemen|Cveće|Flori|الزهور|Квіти|Цэцэгсийн|플라워|Çiçekler|Blommor|פרחים|Virágok
n2100|Grapefruit|https://www.fragrantica.com/notes/Grapefruit-76.html||Pamplemousse|Citrus smells|"A bitter aromatic citrus scent with a ""dirty"" undertone reminiscent of black currant."|https://fimgs.net/mdimg/sastojci/t.76.jpg|https://fimgs.net/mdimg/sastojci/t2.76.jpg;https://fimgs.net/mdimg/sastojci/t3.76.jpg|https://fimgs.net/mdimg/sastojci/splash.76.jpg|6690|Grapefruit|toronja (pomelo)|Pamplemousse|Grapefruit|Pompelmo|Грейпфрут|Grejpfrut|Toranja|γκρειπ φρουτ|葡萄柚|グレープフルーツ|Grapefruit|Grejpfrut|grapefruit|الجريب فروت|Грейпфрут|Грейпфрут|자몽|Greyfurt|Grapefrukt|אשכולית|Grépfrút|Zitrusfrüchte|Aromas cítricos|Notes hespéridées|Citrusové vůně|Agrumi|Цитрусовые|Cytrusy|Cheiros cítricos|Μυρωδιες εσπεριδοειδων|柑橘类香调|柑橘系|Citrus geuren|Citrusi|Mirosuri citrice|الموالح و الحمضيات|Цитрусові|Цитруслэг үнэр|시트러스 향|Narenciye kokulari|Citrusdofter|ריחות הדר|Citrusos illatok
n2106|Green Apple|https://www.fragrantica.com/notes/Apple-146.html|||Fruits, vegetables and nuts|A fresh mouthwatering fruity note, sweet or green and sour.|https://fimgs.net/mdimg/sastojci/t.146.jpg|https://fimgs.net/mdimg/sastojci/t2.146.jpg;https://fimgs.net/mdimg/sastojci/t3.146.jpg|https://fimgs.net/mdimg/sastojci/splash.146.jpg|1101|grüner Apfel|manzana verde|Pomme verte|Zelené jablko|Mela Verde|Зеленое яблоко|Zielone Jabłko|Maçã Verde|Πράσινο Μήλο|青苹果|リンゴ|Groene appel|Zelena jabuka|mar verde|التفاح الأخضر|Зелене Яблуко|Ногоон Алим|사과|Elma|Äpple|תפוח ירוק|Zöldalma|Früchte, gemüse & nüsse|Frutas, vegetales y nueces|Notes fruitées à coque|Ovoce, zelenina a ořechy|Frutti, verdure e frutta secca|Фрукты, овощи и орехи|Owoce, warzywa i orzechy|Frutas, vegetais & nozes|Φρουτα, λαχανικα και ξηροι καρποι|水果，蔬菜和坚果类香调|フルーツ、野菜＆ナッツ|Fruit, groente & noten|Voće, povrće i oraščići|Fructe, legume & nuci|الفواكة و الخضروات و المكسرات|Фрукти, овочі та горіхи|Жимс, ногоо, самар|과일, 채소 및 견과류|Meyveler, sebzeler ve kuruyemişler|Frukt, grönsaker och nötter|פירות, ירקות ואגוזים|Gyümölcsök, zöldségek és diófélék
n2115|Green Notes|https://www.fragrantica.com/notes/Green-Notes-318.html|||Greens, herbs and fougeres|A generic term for notes that evoke snapped leaves, foliage, green vegetal scents.|https://fimgs.net/mdimg/sastojci/t.318.jpg|https://fimgs.net/mdimg/sastojci/t2.318.jpg;https://fimgs.net/mdimg/sastojci/t3.318.jpg|https://fimgs.net/mdimg/sastojci/splash.318.jpg|3108|grüne Noten|notas verdes|Notes vertes|Zelené tóny|Note Verdi|Зеленые ноты|Nuty zielone|Notas Verdes|νότες πρασίνου|绿色元素|グリーンノート|Groene noten|Zelene note|note verzi|النوتات الخضراء|Зелені ноти|Ногоон Ноотууд|녹색 노트|Yeşil Notalar|Gröna noter|תמצית ירוקה|Zöld jegyek|Grüne noten, kräuter & fougere-noten|Verdes, herbales y fougères|Notes vertes, herbacées et fougères|Zeleň, bylinky a kapradiny|Note verdi, erbe e fougere|Зеленые, травянистые, фужерные|Zieleń, zioła i fougere|Verdes, ervas & fougères|Πρασινα,βοτανα και φουζερ|绿色，本草和森林类香调|グリーン、ハーブ＆フゼア|Groene bladeren, kruiden en varens|Zelene komponente, bilje i paprat|Plante verzi, ierburi & fougeres|النباتات العشبيه(الجرين) و الأعشاب و الطحالب|Зелені, трав'яні та фужерні аромати|Ногоон, өвслөг, фюжер|그린, 허브 및 푸제르|Yeşi̇lli̇kler, otsi̇ notalar ve fougereler|Grönt, örter och fougères|הירוקים, עשבי תיבול ושרך|Zöldek, fűszernövények és fougère-ek
n2118|Green Tea|https://www.fragrantica.com/notes/Tea-106.html|Camellia sinensis||Greens, herbs and fougeres|A sweet herbaceous green fragrance.|https://fimgs.net/mdimg/sastojci/t.106.jpg|https://fimgs.net/mdimg/sastojci/t2.106.jpg;https://fimgs.net/mdimg/sastojci/t3.106.jpg|https://fimgs.net/mdimg/sastojci/splash.106.jpg|925|grüner Tee|té verde|Thé vert|Zelený čaj|Tè Verde|Зеленый чай|Zielona herbata|Chá Verde|πράσινο τσάι|绿茶|緑茶|Groene thee|Zeleni čaj|ceai verde|الشاي الأخضر|Зелений Чай|Ногоон Цай|차|Çay|Te|תה ירוק|Zöld tea|Grüne noten, kräuter & fougere-noten|Verdes, herbales y fougères|Notes vertes, herbacées et fougères|Zeleň, bylinky a kapradiny|Note verdi, erbe e fougere|Зеленые, травянистые, фужерные|Zieleń, zioła i fougere|Verdes, ervas & fougères|Πρασινα,βοτανα και φουζερ|绿色，本草和森林类香调|グリーン、ハーブ＆フゼア|Groene bladeren, kruiden en varens|Zelene komponente, bilje i paprat|Plante verzi, ierburi & fougeres|النباتات العشبيه(الجرين) و الأعشاب و الطحالب|Зелені, трав'яні та фужерні аромати|Ногоон, өвслөг, фюжер|그린, 허브 및 푸제르|Yeşi̇lli̇kler, otsi̇ notalar ve fougereler|Grönt, örter och fougères|הירוקים, עשבי תיבול ושרך|Zöldek, fűszernövények és fougère-ek
n2119|Guaiac Wood|https://www.fragrantica.com/notes/Guaiac-Wood-36.html||Palo Santo, Palo Balsamo|Woods and mosses|Depends on the specific material the scent varies from sweet balsamic vanilla-like to woody smoky, leathery, tar-like.|https://fimgs.net/mdimg/sastojci/t.36.jpg|https://fimgs.net/mdimg/sastojci/t2.36.jpg;https://fimgs.net/mdimg/sastojci/t3.36.jpg|https://fimgs.net/mdimg/sastojci/splash.36.jpg|2808|Guajakholz|madera de gaiac|Gaïac|Guajakové dřevo|Legno di Guaiaco|Гваяк|Drzewo gwajakowe|Madeira Guaiac|ξύλο γκουαϊακ|愈创木|グアヤクウッド|Guaiac hout|Gvajak drvo|lemn de guaiac|أخشاب الغاياك|Дерево Гуаяк|Гваяк Мод|과이악 나무|Guayak ağacı|Guajakträ|עץ גואיאק|Guajakfa|Hölzer & moose|Maderas y musgos|Bois et mousses|Dřeva a mechy|Legni e muschi|Деревья и мхи|Drewna i mchy|Madeiras & musgos|Ξυλα και βρυα|木质和苔藓类香调|ウッディ＆モス|Hout en mos|Drveće i mahovine|Lemn & muschi|الأخشاب و الطحالب|Дерева і мохи|Мод ба хөвд|우드 및 모스|Odunlar ve yosunlar|Trä och mossa|עצים ואזוב|Fák és mohák
n2135|Honey|https://www.fragrantica.com/notes/Honey-181.html|||Sweets and gourmand smells|A sweet, gourmand scent with animalic and powdery floral nuances.|https://fimgs.net/mdimg/sastojci/t.181.jpg|https://fimgs.net/mdimg/sastojci/t2.181.jpg;https://fimgs.net/mdimg/sastojci/t3.181.jpg|https://fimgs.net/mdimg/sastojci/splash.181.jpg|2774|Honig|miel|Miel|Med|Miele|Мед|Miód|Mel|μέλι|蜂蜜|はちみつ|Honing|Med|miere|العسل|Мед|Зөгийн Бал|꿀|Bal|Honung|דבש|Méz|Naschwerk & gourmand|Aromas dulces y gourmand|Notes fruitées et gourmandes|Sladké a gurmánské vůně|Aromi dolci e gourmand|Сладкие и гурманские|Nuty słodkie i gourmand|Doces & cheiros gourmand|Γλυκες και gourmand μυρωδιες|糖果和美食类香调|スイーツ＆グルマン|Zoetigheden en gourmands|Slatki i gurmanski mirisi|Mirosuri dulci & gurmande|الحلوي و النكهات|Солодкі, гурманські запахи|Чихэрлэг ба гурманд үнэрүүд|달콤한 향 및 구어망드|Tatlilar ve gurme kokular|Sötsaker och gourmanddofter|ממתקים וריחות גורמאנד|Édességek és gourmand illatok
n2148|Indian Patchouli|https://www.fragrantica.com/notes/Patchouli-34.html|Mentha cablin||Woods and mosses|An exotic bush that grows mainly in India, the leaves of which produce the essential oil of patchouli. Sweet, dark, with an earthy, woody edge, it is very popular in many blends, especially the contemporary woody floral musks. There are also synthetics and fractal extractions.|https://fimgs.net/mdimg/sastojci/t.34.jpg|https://fimgs.net/mdimg/sastojci/t2.34.jpg;https://fimgs.net/mdimg/sastojci/t3.34.jpg|https://fimgs.net/mdimg/sastojci/splash.34.jpg|75|indisches Patschuli|pachulí hindú|Patchouli d'Inde|Indické pačuli|Patchouli Indiano|Пачули из Индии|Indyjska paczula|Patchouli Indiano|ινδικό πατσουλί|印度广藿香|インドパチョリ|Indiase Patchouli|Indijski pačuli|paciuli indian|الباتشولي الهندي|Індійські Пачулі|Энэтхэг Пачули|인도 패츌리|Hint paçuli|Indisk patchouli|פצ'ולי הודי|Indiai pacsuli|Hölzer & moose|Maderas y musgos|Bois et mousses|Dřeva a mechy|Legni e muschi|Деревья и мхи|Drewna i mchy|Madeiras & musgos|Ξυλα και βρυα|木质和苔藓类香调|ウッディ＆モス|Hout en mos|Drveće i mahovine|Lemn & muschi|الأخشاب و الطحالب|Дерева і мохи|Мод ба хөвд|우드 및 모스|Odunlar ve yosunlar|Trä och mossa|עצים ואזוב|Fák és mohák
n2185|Jasmine|https://www.fragrantica.com/notes/Jasmine-14.html|Jasminum officinale||White flowers|Sweet, white floral, opulent, can be more indolic or greener and fresher when synthesized in the lab.|https://fimgs.net/mdimg/sastojci/t.14.jpg|https://fimgs.net/mdimg/sastojci/t2.14.jpg;https://fimgs.net/mdimg/sastojci/t3.14.jpg|https://fimgs.net/mdimg/sastojci/splash.14.jpg|23096|Jasmin|jazmín|Jasmin|Jasmín|Gelsomino|Жасмин|Jaśmin|Jasmim|γιασεμί|茉莉|ジャスミン|Jasmijn|Jasmin|iasomie|الياسمين|Жасмин|Мэлрэг|자스민|Yasemin|Jasmin|יסמין|Jázmin|Weisse blüten|Flores blancas|Fleurs blanches|Bílé květy|Fiori bianchi|Белые цветы|Białe kwiaty|Flores brancas|Λευκα ανθη|白色花系香调|ホワイトフローラル|Witte bloemen|Belo cveće|Flori albe|الزهور البيضاء|Білі квіти|Цагаан цэцэгсийн|화이트 플라워|Beyaz çi̇çekler|Vita blommor|פרחים לבנים|Fehér virágok
n2197|Lavender|https://www.fragrantica.com/notes/Lavender-1.html|||Flowers|An aromatic floral clean note, with green, fresh spicy, licorice facets.|https://fimgs.net/mdimg/sastojci/t.1.jpg|https://fimgs.net/mdimg/sastojci/t2.1.jpg;https://fimgs.net/mdimg/sastojci/t3.1.jpg|https://fimgs.net/mdimg/sastojci/splash.1.jpg|8990|Lavendel|lavanda|Lavande|Levandule|Lavanda|Лаванда|Lawenda|Lavanda|λεβάντα|薰衣草|ラベンダー|Lavendel|Lavanda|lavanda|الخزامي|Лаванда|Лаванда|라벤더|Lavanta|Lavendel|לבנדר|Levendula|Blumen|Flores|Fleurs|Květiny|Fiori|Цветы|Kwiaty|Flores|Λουλουδια|花香类香调|花|Bloemen|Cveće|Flori|الزهور|Квіти|Цэцэгсийн|플라워|Çiçekler|Blommor|פרחים|Virágok
n2199|Lemon|https://www.fragrantica.com/notes/Lemon-77.html|||Citrus smells|astringent, sour, sweet undertone, aromatic nuance, bright, cheerful & vibrant.|https://fimgs.net/mdimg/sastojci/t.77.jpg|https://fimgs.net/mdimg/sastojci/t2.77.jpg;https://fimgs.net/mdimg/sastojci/t3.77.jpg|https://fimgs.net/mdimg/sastojci/splash.77.jpg|10060|Zitrone|limón (lima ácida)|Citron|Citrón|Limone|Лимон|Cytryna|Limão|λεμόνι|柠檬|レモン|Citroen|Limun|lamaie|الليمون|Лимон|Нимбэг|레몬|Limon|Citron|לימון|Citrom|Zitrusfrüchte|Aromas cítricos|Notes hespéridées|Citrusové vůně|Agrumi|Цитрусовые|Cytrusy|Cheiros cítricos|Μυρωδιες εσπεριδοειδων|柑橘类香调|柑橘系|Citrus geuren|Citrusi|Mirosuri citrice|الموالح و الحمضيات|Цитрусові|Цитруслэг үнэр|시트러스 향|Narenciye kokulari|Citrusdofter|ריחות הדר|Citrusos illatok
n2209|Lily-of-the-Valley|https://www.fragrantica.com/notes/Lily-of-the-Valley-109.html||Muguet|Flowers|A green white floral note with soapy, sweet jasmine-like nuances.|https://fimgs.net/mdimg/sastojci/t.109.jpg|https://fimgs.net/mdimg/sastojci/t2.109.jpg;https://fimgs.net/mdimg/sastojci/t3.109.jpg|https://fimgs.net/mdimg/sastojci/splash.109.jpg|4958|Maiglöckchen|lirio de los valles (muguete)|Muguet|Konvalinka|Mughetto|Ландыш|Konwalia|Lírio-do-Vale|κρίνο της κοιλάδας|铃兰|スズラン|Lelietje-van-dalen|Đurđevak|lacramioare|زنابق الوادي|Конвалія|Хөндийн Сараана|감람|Müge|Liljekonvalj|שושנת העמקים|Gyöngyvirág|Blumen|Flores|Fleurs|Květiny|Fiori|Цветы|Kwiaty|Flores|Λουλουδια|花香类香调|花|Bloemen|Cveće|Flori|الزهور|Квіти|Цэцэгсийн|플라워|Çiçekler|Blommor|פרחים|Virágok
n2217|Lotus|https://www.fragrantica.com/notes/Lotus-27.html|||Flowers|An aquatic floral note, light and airy.|https://fimgs.net/mdimg/sastojci/t.27.jpg|https://fimgs.net/mdimg/sastojci/t2.27.jpg;https://fimgs.net/mdimg/sastojci/t3.27.jpg|https://fimgs.net/mdimg/sastojci/splash.27.jpg|1218|Lotus|flor de loto|Lotus|Lotus|Loto|Лотос|Lotos|Lótus|Λωτός|荷花|蓮|Lotus|Lotus|lotus|اللوتس|Лотос|Бадамлянхуа|연꽃|Lotus|Lotus|לוטוס|Lótusz|Blumen|Flores|Fleurs|Květiny|Fiori|Цветы|Kwiaty|Flores|Λουλουδια|花香类香调|花|Bloemen|Cveće|Flori|الزهور|Квіти|Цэцэгсийн|플라워|Çiçekler|Blommor|פרחים|Virágok
n2224|Madagascar Vanilla|https://www.fragrantica.com/notes/Vanilla-74.html|||Spices||https://fimgs.net/mdimg/sastojci/t.74.jpg|https://fimgs.net/mdimg/sastojci/t2.74.jpg;https://fimgs.net/mdimg/sastojci/t3.74.jpg|https://fimgs.net/mdimg/sastojci/splash.74.jpg|979|Vanille aus Madagaskar|vainilla de Madagascar|Vanille de Madagascar|Madagaskarská vanilka|Vaniglia del Madagascar|Мадагаскарская ваниль|Madagaskarska wanilia|Baunilha de Madagascar|Βανίλια Μαδαγασκάρης|马达加斯加香草|バニラ|Madagascar Vanille|vanilija sa Madagaskara|vanilie de Madagascar|فانيليا مدغشقر|Мадагаскарська Ваніль|Мадагаскар Ваниль|바닐라|Vanilya|Vanilj|וניל ממדגסקר|Madagaszkári vanília|Gewürze|Especias|Epices|Koření|Spezie|Пряности|Przyprawy|Especiarias|Μπαχαρικα|香料系香调|スパイス|Specerijen|Začini|Mirodenii|التوابل|Прянощі|Амтлагчууд|스파이스|Baharatlar|Kryddor|תבלינים|Fűszerek
n2227|Mahogany|https://www.fragrantica.com/notes/Mahogany-43.html|||Woods and mosses||https://fimgs.net/mdimg/sastojci/t.43.jpg|https://fimgs.net/mdimg/sastojci/t2.43.jpg;https://fimgs.net/mdimg/sastojci/t3.43.jpg|https://fimgs.net/himg/o.88671.jpg|273|Mahagoni|caoba|Acajou|Mahagon|Mogano|Махагони|Mahoń|Mogno|Μαόνι|桃花心木|マホガニー|Mahoniehout|Mahagonij|lemn de mahon|أخشاب الماهوجني|Махагоні|Улаан Мод|마호가니|Maun|Mahogny|עץ מהגוני|Mahagóni|Hölzer & moose|Maderas y musgos|Bois et mousses|Dřeva a mechy|Legni e muschi|Деревья и мхи|Drewna i mchy|Madeiras & musgos|Ξυλα και βρυα|木质和苔藓类香调|ウッディ＆モス|Hout en mos|Drveće i mahovine|Lemn & muschi|الأخشاب و الطحالب|Дерева і мохи|Мод ба хөвд|우드 및 모스|Odunlar ve yosunlar|Trä och mossa|עצים ואזוב|Fák és mohák
n2232|Mandarin Orange|https://www.fragrantica.com/notes/Mandarin-Orange-82.html|Citrus reticulate|Mandarin, Mandarine|Citrus smells|A sweet hesperidic, juicy, honeyed note.|https://fimgs.net/mdimg/sastojci/t.82.jpg|https://fimgs.net/mdimg/sastojci/t2.82.jpg;https://fimgs.net/mdimg/sastojci/t3.82.jpg|https://fimgs.net/mdimg/sastojci/splash.82.jpg|7858|Mandarinorange|mandarina|Mandarine|Mandarinka|Mandarino|Мандарин|Mandarynka|Mandarina|Μανταρίνι|橘子|ミカン|Mandarijn|Mandarina|mandarina|الماندرين (اليوسفي)|Мандарин|Мандарин|귤|Mandarin|Mandarin|מנדרינה|Mandarin|Zitrusfrüchte|Aromas cítricos|Notes hespéridées|Citrusové vůně|Agrumi|Цитрусовые|Cytrusy|Cheiros cítricos|Μυρωδιες εσπεριδοειδων|柑橘类香调|柑橘系|Citrus geuren|Citrusi|Mirosuri citrice|الموالح و الحمضيات|Цитрусові|Цитруслэг үнэр|시트러스 향|Narenciye kokulari|Citrusdofter|ריחות הדר|Citrusos illatok
n2242|Melon|https://www.fragrantica.com/notes/Melon-172.html|||Fruits, vegetables and nuts|A fresh and sweet fruity aquatic note, usually attributed to Calone, a popular lab synthetic popularized in the 1990s.|https://fimgs.net/mdimg/sastojci/t.172.jpg|https://fimgs.net/mdimg/sastojci/t2.172.jpg;https://fimgs.net/mdimg/sastojci/t3.172.jpg|https://fimgs.net/mdimg/sastojci/splash.172.jpg|1279|Melone|melón|Melon|Meloun|Melone|Дыня|Melon|Melão|πεπόνι|甜瓜|メロン|Meloen|Dinja|pepene|شمام|Диня|Амтат Гуа|멜론|Kavun|Melon|מלון|Sárgadinnye|Früchte, gemüse & nüsse|Frutas, vegetales y nueces|Notes fruitées à coque|Ovoce, zelenina a ořechy|Frutti, verdure e frutta secca|Фрукты, овощи и орехи|Owoce, warzywa i orzechy|Frutas, vegetais & nozes|Φρουτα, λαχανικα και ξηροι καρποι|水果，蔬菜和坚果类香调|フルーツ、野菜＆ナッツ|Fruit, groente & noten|Voće, povrće i oraščići|Fructe, legume & nuci|الفواكة و الخضروات و المكسرات|Фрукти, овочі та горіхи|Жимс, ногоо, самар|과일, 채소 및 견과류|Meyveler, sebzeler ve kuruyemişler|Frukt, grönsaker och nötter|פירות, ירקות ואגוזים|Gyümölcsök, zöldségek és diófélék
n2260|Musk|https://www.fragrantica.com/notes/Musk-4.html|Angelica archangelica||Musk, amber, animalic smells|There is a wide variety of sources for musk smelling materials, including synthetic musks and natural ones, mainly obtained from plants, since deer musk is forbidden to obtain and sell. The musk is a secretion inside an internal pouch on the abdomen of the male deer. In order to get it, you have to kill the deer.|https://fimgs.net/mdimg/sastojci/t.4.jpg|https://fimgs.net/mdimg/sastojci/t2.4.jpg;https://fimgs.net/mdimg/sastojci/t3.4.jpg|https://fimgs.net/mdimg/sastojci/splash.4.jpg|33902|Moschus|almizcle|Musc|Pižmo|Muschio|Мускус|Piżmo|Almíscar|Μόσχος|麝香|ムスク|Muskus|Mošus|mosc|المسك|Мускус|Заар|머스크|Misk|Musk|מושק|Pézsma|Moschus, ambra, animalische düfte|Almizcle, ámbar, aromas animálicos|Musc, ambre, odeurs animales|Pižmo, jantar, zvířecí vůně|Muschio animale, ambra, sentori animali|Анималистические ноты|Piżmo, ambra, nuty zwierzęce|Almíscar, âmbar, cheiros animálicos|Μοσχος,κεχριμπαρι και ζωωδεις μυρωδιες|麝香，龙涎香，动物类气味香调|ムスク、アンバー、アニマリック|Musk, amber, dierlijke geuren|Mošus, amber i životinjske komponente|Mosc, ambra, mirosuri animalice|المسك، العنبر، و المكونات ذات الأصل الحيواني|Мускус, амбра, анімалістичні ноти|Заар, хув, амьтанлаг үнэрүүд|머스크, 앰버, 애니멀릭 향|Misk, amber, ani̇mali̇k kokular|Mysk, ambra, animaliska dofter|מושק, ענבר, וריחות חייתיים|Pézsma, ambra, állatias illatok
