id|name|url|latin_name|other_names|group|odor_profile|main_icon|alt_icons|background|fragrance_count|note_name_de|note_name_es|note_name_fr|note_name_cs|note_name_it|note_name_ru|note_name_pl|note_name_pt|note_name_el|note_name_zh|note_name_ja|note_name_nl|note_name_sr|note_name_ro|note_name_ar|note_name_uk|note_name_mn|note_name_ko|note_name_tr|note_name_sv|note_name_he|note_name_hu|note_group_de|note_group_es|note_group_fr|note_group_cs|note_group_it|note_group_ru|note_group_pl|note_group_pt|note_group_el|note_group_zh|note_group_ja|note_group_nl|note_group_sr|note_group_ro|note_group_ar|note_group_uk|note_group_mn|note_group_ko|note_group_tr|note_group_sv|note_group_he|note_group_hu
n2278|Nutmeg|https://www.fragrantica.com/notes/Nutmeg-59.html|||Spices|It is a fruit of Myristica fragrans, it has a spicy sweet facet with earthy and pungent base notes, and is used to provide an oriental spiciness that is subtler than the usual cinnamon-clove-vanilla bouquet of orientals, thus perfect for masculine and lighter woody fragrances. Notable example is Fahrenheit by Dior and Vetiver Sport by Guerlain.|https://fimgs.net/mdimg/sastojci/t.59.jpg|https://fimgs.net/mdimg/sastojci/t2.59.jpg;https://fimgs.net/mdimg/sastojci/t3.59.jpg|https://fimgs.net/mdimg/sastojci/splash.59.jpg|4398|Muskat|nuez moscada|Noix de muscade|Muškátový oříšek|Noce Moscata|Мускатный орех|Gałka muszkatołowa|Noz-moscada|μοσχοκάρυδο|肉豆蔻核仁|ナツメグ|Nootmuskaat|Muškatni orah|nucsoara|جوزه الطيب|Мускатний Горіх|Задь|넛맥|Muskat|Muskot|מוסקט|Szerecsendió|Gewürze|Especias|Epices|Koření|Spezie|Пряности|Przyprawy|Especiarias|Μπαχαρικα|香料系香调|スパイス|Specerijen|Začini|Mirodenii|التوابل|Прянощі|Амтлагчууд|스파이스|Baharatlar|Kryddor|תבלינים|Fűszerek
n2281|Oakmoss|https://www.fragrantica.com/notes/Oakmoss-39.html|Evernia prunastri|Mousse de Chene, treemoss|Woods and mosses|An inky, bitter-smelling forest floor evocative, prized essence coming from the lichen that grows on oak trees in Europe (harvested in the Balkans). Nowadays severely restricted under skin sensitization concerns, it is nevertheless an essential part of chypre fragrances and fougère fragrances.|https://fimgs.net/mdimg/sastojci/t.39.jpg|https://fimgs.net/mdimg/sastojci/t2.39.jpg;https://fimgs.net/mdimg/sastojci/t3.39.jpg|https://fimgs.net/mdimg/sastojci/splash.39.jpg|6135|Eichenmoos|musgo de roble|Mousse de chêne|Dubový mech|Muschio di Quercia|Дубовый мох|Mech dębowy|Musgo de Carvalho|βρύα δρυός|橡苔|オークモス|Eikenmos|Mahovina|lichen|طحلب البلوط (طحلب السنديان)|Дубовий Мох|Царсны Хөвд|참나무 이끼|Meşe yosunu|Ekmossa|אזוב אלון|Tölgyfazuzmó|Hölzer & moose|Maderas y musgos|Bois et mousses|Dřeva a mechy|Legni e muschi|Деревья и мхи|Drewna i mchy|Madeiras & musgos|Ξυλα και βρυα|木质和苔藓类香调|ウッディ＆モス|Hout en mos|Drveće i mahovine|Lemn & muschi|الأخشاب و الطحالب|Дерева і мохи|Мод ба хөвд|우드 및 모스|Odunlar ve yosunlar|Trä och mossa|עצים ואזוב|Fák és mohák
n2284|Orange|https://www.fragrantica.com/notes/Orange-80.html||Sweet Orange|Citrus smells|A sweet citrus note, somewhat between mandarin and pomelo, a small facet of astringency.|https://fimgs.net/mdimg/sastojci/t.80.jpg|https://fimgs.net/mdimg/sastojci/t2.80.jpg;https://fimgs.net/mdimg/sastojci/t3.80.jpg|https://fimgs.net/mdimg/sastojci/splash.80.jpg|5524|Orange|naranja|Orange|Pomeranč|Arancia|Апельсин|Pomarańcza|Laranja|πορτοκάλι|橙|オレンジ|Sinaasappel|Narandža|portocala|البرتقال|Апельсин|Жүрж|오렌지|Portakal|Apelsin|תפוז|Narancs|Zitrusfrüchte|Aromas cítricos|Notes hespéridées|Citrusové vůně|Agrumi|Цитрусовые|Cytrusy|Cheiros cítricos|Μυρωδιες εσπεριδοειδων|柑橘类香调|柑橘系|Citrus geuren|Citrusi|Mirosuri citrice|الموالح و الحمضيات|Цитрусові|Цитруслэг үнэр|시트러스 향|Narenciye kokulari|Citrusdofter|ריחות הדר|Citrusos illatok
n2285|Orange Blossom|https://www.fragrantica.com/notes/Orange-Blossom-16.html|Citrus aurantium||White flowers|A fresh and sweet white floral note with an animalic undertone.|https://fimgs.net/mdimg/sastojci/t.16.jpg|https://fimgs.net/mdimg/sastojci/t2.16.jpg;https://fimgs.net/mdimg/sastojci/t3.16.jpg|https://fimgs.net/mdimg/sastojci/splash.16.jpg|7930|Orangenblüte|flor de azahar del naranjo|Fleur d'oranger|Pomerančový květ|Fiore d'Arancio|Цветок апельсина|Kwiat pomarańczy|Flor de Laranjeira|άνθη πορτοκαλιάς|橙子花|オレンジの花|Oranjebloesem|Cvijet narandže|floare de portocal|زهر البرتقال|Апельсиновий Цвіт|Жүржийн Цэцэг|오렌지 꽃|Portakal çiçeği|Apelsinblomma|פריחת התפוז|Narancsvirág|Weisse blüten|Flores blancas|Fleurs blanches|Bílé květy|Fiori bianchi|Белые цветы|Białe kwiaty|Flores brancas|Λευκα ανθη|白色花系香调|ホワイトフローラル|Witte bloemen|Belo cveće|Flori albe|الزهور البيضاء|Білі квіти|Цагаан цэцэгсийн|화이트 플라워|Beyaz çi̇çekler|Vita blommor|פרחים לבנים|Fehér virágok
n2292|Orchid|https://www.fragrantica.com/notes/Orchid-154.html|||Flowers|Usually a fantasy synthetic floral note.|https://fimgs.net/mdimg/sastojci/t.154.jpg|https://fimgs.net/mdimg/sastojci/t2.154.jpg;https://fimgs.net/mdimg/sastojci/t3.154.jpg|https://fimgs.net/mdimg/sastojci/splash.154.jpg|1931|Orchidee|orquídea|Orchidée|Orchidej|Orchidea|Орхидея|Orchidea|Orquídea|ορχιδέα|兰花|蘭|Orchidee|Orhideja|orhidee|الأوركيد|Орхідея|Цахирмаа|난초|Orkide|Orkidé|סחלב|Orkidea|Blumen|Flores|Fleurs|Květiny|Fiori|Цветы|Kwiaty|Flores|Λουλουδια|花香类香调|花|Bloemen|Cveće|Flori|الزهور|Квіти|Цэцэгсийн|플라워|Çiçekler|Blommor|פרחים|Virágok
n2295|Orris Root|https://www.fragrantica.com/notes/Orris-Root-101.html|||Flowers|A powdery earthy rooty scent, with woody, violet flower nuances.|https://fimgs.net/mdimg/sastojci/t.101.jpg|https://fimgs.net/mdimg/sastojci/t2.101.jpg|https://fimgs.net/mdimg/sastojci/splash.101.jpg|1558|Iriswurzel|raíz de lirio|Racine d'iris|Kořen kosatce|Rizoma di Iris|Корень ириса|Korzeń irysa|Raíz de Orris|ρίζωμα ίριδας|鸢尾根|オリス根|Orris wortel (Iris Germanica)|Korijen irisa|radacina de stanjenel|جذور السوسن|Корінь Ірису|Цахилдагын Үндэс|오리스 뿌리|Orris kökü|Irisrot|שורש אוריס|Íriszgyökér|Blumen|Flores|Fleurs|Květiny|Fiori|Цветы|Kwiaty|Flores|Λουλουδια|花香类香调|花|Bloemen|Cveće|Flori|الزهور|Квіти|Цэцэгсийн|플라워|Çiçekler|Blommor|פרחים|Virágok
n2304|Patchouli|https://www.fragrantica.com/notes/Patchouli-34.html|Mentha cablin||Woods and mosses|An exotic bush that grows mainly in India, the leaves of which produce the essential oil of patchouli. Sweet, dark, with an earthy, woody edge, it is very popular in many blends, especially the contemporary woody floral musks. There are also synthetics and fractal extractions.|https://fimgs.net/mdimg/sastojci/t.34.jpg|https://fimgs.net/mdimg/sastojci/t2.34.jpg;https://fimgs.net/mdimg/sastojci/t3.34.jpg|https://fimgs.net/mdimg/sastojci/splash.34.jpg|22480|Patschuli|pachulí|Patchouli|Pačuli|Patchouli|Пачули|Paczula|Patchouli|πατσουλί|广藿香|パチョリ|Patchouli|Pačuli|paciuli|الباتشولي|Пачулі|Пачули|파추리|Paçuli|Patchouli|פצ'ולי|Pacsuli|Hölzer & moose|Maderas y musgos|Bois et mousses|Dřeva a mechy|Legni e muschi|Деревья и мхи|Drewna i mchy|Madeiras & musgos|Ξυλα και βρυα|木质和苔藓类香调|ウッディ＆モス|Hout en mos|Drveće i mahovine|Lemn & muschi|الأخشاب و الطحالب|Дерева і мохи|Мод ба хөвд|우드 및 모스|Odunlar ve yosunlar|Trä och mossa|עצים ואזוב|Fák és mohák
n2307|Pelargonium|https://www.fragrantica.com/notes/Pelargonium-287.html|||Flowers|the same as geranium. A green aromatic rose fragrance. Extracted from leaves and young twigs.|https://fimgs.net/mdimg/sastojci/t.287.jpg|https://fimgs.net/mdimg/sastojci/t2.287.jpg;https://fimgs.net/mdimg/sastojci/t3.287.jpg|https://fimgs.net/mdimg/sastojci/splash.287.jpg|53|Pelargonie|pelargonio|Pélargonium|Pelargonie|Pelargonio|Пеларгония|Pelargonia|Pelargônio|πελαργόνιο|天竺葵|ペラルゴニウム|Pelargonium|Pelargonija|muscata|اللقلقي|Пеларгонія|Шимтэглээ|펠라르고늄|Sardunya|Pelargon|פלרגוניום|Pelargónia|Blumen|Flores|Fleurs|Květiny|Fiori|Цветы|Kwiaty|Flores|Λουλουδια|花香类香调|花|Bloemen|Cveće|Flori|الزهور|Квіти|Цэцэгсийн|플라워|Çiçekler|Blommor|פרחים|Virágok
n2310|Pepper|https://www.fragrantica.com/notes/Pepper-158.html|||Spices|A hot and bracing note, short-lived and earthy spice, rendered through steam distillation of the berries of the piper negrum bush, which is very popular as a bright accent top note in fragrances. Featured prominently in Piper Negrum by L.Villoresi.|https://fimgs.net/mdimg/sastojci/t.158.jpg|https://fimgs.net/mdimg/sastojci/t2.158.jpg;https://fimgs.net/mdimg/sastojci/t3.158.jpg|https://fimgs.net/mdimg/sastojci/splash.158.jpg|2945|Pfeffer|pimienta|Poivre|Pepř|Pepe|Перец|Pieprz|Pimenta|πιπέρι|胡椒|こしょう|Peper|Biber|piper|الفلفل|Перець|Перец|고추|Biber|Peppar|פלפל|Bors|Gewürze|Especias|Epices|Koření|Spezie|Пряности|Przyprawy|Especiarias|Μπαχαρικα|香料系香调|スパイス|Specerijen|Začini|Mirodenii|التوابل|Прянощі|Амтлагчууд|스파이스|Baharatlar|Kryddor|תבלינים|Fűszerek
n2330|Pink Pepper|https://www.fragrantica.com/notes/Pink-Pepper-91.html|Schinus molle|pink peppercorn, baies roses, poivre rosé, faux poivre|Spices|A fresh spicy floral and herbal top note with rosy nuance.|https://fimgs.net/mdimg/sastojci/t.91.jpg|https://fimgs.net/mdimg/sastojci/t2.91.jpg;https://fimgs.net/mdimg/sastojci/t3.91.jpg|https://fimgs.net/mdimg/sastojci/splash.91.jpg|7338|Rosa Pfeffer|pimienta rosa|Poivre rose|Růžový pepř|Pepe Rosa|Розовый перец|Różowy pieprz|Pimenta Rosa|ροζ πιπέρι|粉色胡椒|ピンクペッパー|Roze peper|Ružičasti biber|piper roz|الفلفل الوردي|Рожевий Перець|Ягаан Перец|분홍색 후추|Pembe biber|Rosa peppar|פלפל ורוד|Rózsabors|Gewürze|Especias|Epices|Koření|Spezie|Пряности|Przyprawy|Especiarias|Μπαχαρικα|香料系香调|スパイス|Specerijen|Začini|Mirodenii|التوابل|Прянощі|Амтлагчууд|스파이스|Baharatlar|Kryddor|תבלינים|Fűszerek
n2336|Plum|https://www.fragrantica.com/notes/Plum-171.html||Prune|Fruits, vegetables and nuts|A sensual fruity fragrance.|https://fimgs.net/mdimg/sastojci/t.171.jpg|https://fimgs.net/mdimg/sastojci/t2.171.jpg;https://fimgs.net/mdimg/sastojci/t3.171.jpg|https://fimgs.net/mdimg/sastojci/splash.171.jpg|2622|Pflaume|ciruela|Prune|Švestka|Prugna|Слива|Śliwka|Ameixa|δαμάσκηνο|李子|プラム|Pruim|Šljiva|prune|البرقوق|Слива|Чавга|자두|Erik|Plommon|שזיף|Szilva|Früchte, gemüse & nüsse|Frutas, vegetales y nueces|Notes fruitées à coque|Ovoce, zelenina a ořechy|Frutti, verdure e frutta secca|Фрукты, овощи и орехи|Owoce, warzywa i orzechy|Frutas, vegetais & nozes|Φρουτα, λαχανικα και ξηροι καρποι|水果，蔬菜和坚果类香调|フルーツ、野菜＆ナッツ|Fruit, groente & noten|Voće, povrće i oraščići|Fructe, legume & nuci|الفواكة و الخضروات و المكسرات|Фрукти, овочі та горіхи|Жимс, ногоо, самар|과일, 채소 및 견과류|Meyveler, sebzeler ve kuruyemişler|Frukt, grönsaker och nötter|פירות, ירקות ואגוזים|Gyümölcsök, zöldségek és diófélék
n2339|Pomegranate|https://www.fragrantica.com/notes/Pomegranate-193.html|||Fruits, vegetables and nuts|A fantasy fruity note, sweet and sour, spicy and leathery.|https://fimgs.net/mdimg/sastojci/t.193.jpg|https://fimgs.net/mdimg/sastojci/t2.193.jpg;https://fimgs.net/mdimg/sastojci/t3.193.jpg|https://fimgs.net/mdimg/sastojci/splash.193.jpg|559|Granatapfel|granada|Grenade|Granátové jablko|Melograno|Гранат|Granat|Romã|ρόδι|石榴|ザクロ|Granaatappel|nar|rodie|الرمان|Гранат|Анар|석류|Nar|Granatäpple|רימון|Gránátalma|Früchte, gemüse & nüsse|Frutas, vegetales y nueces|Notes fruitées à coque|Ovoce, zelenina a ořechy|Frutti, verdure e frutta secca|Фрукты, овощи и орехи|Owoce, warzywa i orzechy|Frutas, vegetais & nozes|Φρουτα, λαχανικα και ξηροι καρποι|水果，蔬菜和坚果类香调|フルーツ、野菜＆ナッツ|Fruit, groente & noten|Voće, povrće i oraščići|Fructe, legume & nuci|الفواكة و الخضروات و المكسرات|Фрукти, овочі та горіхи|Жимс, ногоо, самар|과일, 채소 및 견과류|Meyveler, sebzeler ve kuruyemişler|Frukt, grönsaker och nötter|פירות, ירקות ואגוזים|Gyümölcsök, zöldségek és diófélék
n2384|Rose|https://www.fragrantica.com/notes/Rose-105.html|||Flowers|the king of flowers, lemony fresh with various nuances of powder, wood notes or fruit, feminine, clean, intensely romantic|https://fimgs.net/mdimg/sastojci/t.105.jpg|https://fimgs.net/mdimg/sastojci/t2.105.jpg;https://fimgs.net/mdimg/sastojci/t3.105.jpg|https://fimgs.net/mdimg/sastojci/splash.105.jpg|19211|Rose|rosa|Rose|Růže|Rosa|Роза|Róża|Rosa|τριαντάφυλλο|玫瑰（蔷薇）|バラ|Roos|Ruža|trandafir|الورد|Троянда|Сарнай|장미|Gül|Ros|ורד|Rózsa|Blumen|Flores|Fleurs|Květiny|Fiori|Цветы|Kwiaty|Flores|Λουλουδια|花香类香调|花|Bloemen|Cveće|Flori|الزهور|Квіти|Цэцэгсийн|플라워|Çiçekler|Blommor|פרחים|Virágok
n2396|Saffron|https://www.fragrantica.com/notes/Saffron-55.html|Crocus sativus||Spices|A refined note coming from stamens of Crocus sativus, a small flower in the Iris family known since antiquity. Its odor profile is bittersweet, leathery, soft and intimate, with an earthy base note.|https://fimgs.net/mdimg/sastojci/t.55.jpg|https://fimgs.net/mdimg/sastojci/t2.55.jpg;https://fimgs.net/mdimg/sastojci/t3.55.jpg|https://fimgs.net/mdimg/sastojci/splash.55.jpg|5869|Safran|azafrán|Safran|Šafrán|Zafferano|Шафран|Szafran|Açafrão|σαφράν|藏红花|サフラン|Saffraan|Šafran|sofran|الزعفران|Шафран|Гүргэм|사프란|Safran|Saffran|זעפרן|Sáfrány|Gewürze|Especias|Epices|Koření|Spezie|Пряности|Przyprawy|Especiarias|Μπαχαρικα|香料系香调|スパイス|Specerijen|Začini|Mirodenii|التوابل|Прянощі|Амтлагчууд|스파이스|Baharatlar|Kryddor|תבלינים|Fűszerek
n2401|Sandalwood|https://www.fragrantica.com/notes/Sandalwood-33.html|Santalum album||Woods and mosses|A classic oriental woody note, milky, soft, sturdy, rich, with a green top note and a satisfying lingering scent. The best quality used to be the Mysore sandalwood variety from India, nowadays greatly reduced to the point of extinction from perfumery due to shortage of the natural material (the species is protected from harvesting because it's an endangered species). Australian sandalwood and New Caledonian sandalwood are different species with a harsher odor profile.|https://fimgs.net/mdimg/sastojci/t.33.jpg|https://fimgs.net/mdimg/sastojci/t2.33.jpg;https://fimgs.net/mdimg/sastojci/t3.33.jpg|https://fimgs.net/mdimg/sastojci/splash.33.jpg|23652|Sandelholz|sándalo|Bois de santal|Santalové dřevo|Sandalo|Сандал|Drzewo sandałowe|Sândalo|σανδαλόξυλο|檀木|白檀|Sandelhout|Sandalovo drvo|lemn de santal|خشب الصندل|Сандал|Зандан Мод|산달나무|Sandal ağacı|Sandelträ|עץ אלגום|Szantálfa|Hölzer & moose|Maderas y musgos|Bois et mousses|Dřeva a mechy|Legni e muschi|Деревья и мхи|Drewna i mchy|Madeiras & musgos|Ξυλα και βρυα|木质和苔藓类香调|ウッディ＆モス|Hout en mos|Drveće i mahovine|Lemn & muschi|الأخشاب و الطحالب|Дерева і мохи|Мод ба хөвд|우드 및 모스|Odunlar ve yosunlar|Trä och mossa|עצים ואזוב|Fák és mohák
n2430|Spicy Notes|https://www.fragrantica.com/notes/Spicy-Notes-321.html|||Spices|There are different spices obtained from different sources: seeds, fruits, barks, roots, leaves, and flowers. They can be fresh or warm, sour or sweet.|https://fimgs.net/mdimg/sastojci/t.321.jpg|https://fimgs.net/mdimg/sastojci/t2.321.jpg;https://fimgs.net/mdimg/sastojci/t3.321.jpg|https://fimgs.net/mdimg/sastojci/splash.321.jpg|1474|würzige Noten|notas especiadas|Notes épicées|Kořeněné tóny|Note Speziate|Пряности|Nuty przyprawowe|Notas Especiadas|νότες μπαχαρικών|香辛料系元素|スパイシーノート|Kruidige geurnoten|aromatizovani začini|note condimentate|رائحه التوابل|Спецієві Ноти|Амтлагчтай Ноотууд|향신료 노트|Baharatlı notalar|Kryddiga toner|תווים תבליניים|Fűszeres jegyek|Gewürze|Especias|Epices|Koření|Spezie|Пряности|Przyprawy|Especiarias|Μπαχαρικα|香料系香调|スパイス|Specerijen|Začini|Mirodenii|التوابل|Прянощі|Амтлагчууд|스파이스|Baharatlar|Kryddor|תבלינים|Fűszerek
n2458|Tobacco Leaf|https://www.fragrantica.com/notes/Tobacco-96.html|Nicotiana tabacum||Greens, herbs and fougeres|A rich, nuanced, warm and sweet herbaceous scent, with a note of whiskey, caramel, and hay.|https://fimgs.net/mdimg/sastojci/t.96.jpg|https://fimgs.net/mdimg/sastojci/t2.96.jpg;https://fimgs.net/mdimg/sastojci/t3.96.jpg|https://fimgs.net/mdimg/sastojci/splash.96.jpg|342|Tabakblatt|hojas de tabaco|Feuille de tabac|Tabákový list|Foglia di Tabacco|Лист табака|Liść tytoniu|Folha de Tabaco|φύλλο ταμπάκο|烟草叶|タバコ|Tabaksplantblad|list duhana|frunze de tutun|أوراق التبغ|Лист тютюну|Дүнсэн Тамхины Навч|담배|Tütün|Tobak|עלה הטבק|Dohánylevél|Grüne noten, kräuter & fougere-noten|Verdes, herbales y fougères|Notes vertes, herbacées et fougères|Zeleň, bylinky a kapradiny|Note verdi, erbe e fougere|Зеленые, травянистые, фужерные|Zieleń, zioła i fougere|Verdes, ervas & fougères|Πρασινα,βοτανα και φουζερ|绿色，本草和森林类香调|グリーン、ハーブ＆フゼア|Groene bladeren, kruiden en varens|Zelene komponente, bilje i paprat|Plante verzi, ierburi & fougeres|النباتات العشبيه(الجرين) و الأعشاب و الطحالب|Зелені, трав'яні та фужерні аромати|Ногоон, өвслөг, фюжер|그린, 허브 및 푸제르|Yeşi̇lli̇kler, otsi̇ notalar ve fougereler|Grönt, örter och fougères|הירוקים, עשבי תיבול ושרך|Zöldek, fűszernövények és fougère-ek
n2460|Tonka Bean|https://www.fragrantica.com/notes/Tonka-Bean-73.html|Galium verum||Spices|Tonka beans - fruits of Dipteryx odorata, a tropical tree native to Central and South America - contain 1-3% of coumarin. Tonka bean absolute contains 90% of coumarin. Depends on the amount, the scent varies from green grassy to sweet tobacco almond.|https://fimgs.net/mdimg/sastojci/t.73.jpg|https://fimgs.net/mdimg/sastojci/t2.73.jpg;https://fimgs.net/mdimg/sastojci/t3.73.jpg|https://fimgs.net/mdimg/sastojci/splash.73.jpg|9946|Tonkabohne|haba tonka|Fève de tonka|Fazole tonka|Fava Tonka|Бобы тонка|Fasolka tonka|Fava Tonka|σπόρος Τόνκα|零陵香豆|トンカ豆|Tonkaboon|Zrna Tonke|boabe de tonka|حبوب التونكا|Боби Тонка|Тонка Шош|톤카콩|Tonka fasulyesi|Tonkaböna|פולי טונקה|Tonkabab|Gewürze|Especias|Epices|Koření|Spezie|Пряности|Przyprawy|Especiarias|Μπαχαρικα|香料系香调|スパイス|Specerijen|Začini|Mirodenii|التوابل|Прянощі|Амтлагчууд|스파이스|Baharatlar|Kryddor|תבלינים|Fűszerek
n2480|Vanilla|https://www.fragrantica.com/notes/Vanilla-74.html|||Spices||https://fimgs.net/mdimg/sastojci/t.74.jpg|https://fimgs.net/mdimg/sastojci/t2.74.jpg;https://fimgs.net/mdimg/sastojci/t3.74.jpg|https://fimgs.net/mdimg/sastojci/splash.74.jpg|24735|Vanille|vainilla|Vanille|Vanilka|Vaniglia|Ваниль|Wanilia|Baunilha|Βανίλια|香草|バニラ|Vanille|Vanilija|vanilie|الفانيليا|Ваніль|Ваниль|바닐라|Vanilya|Vanilj|וניל|Vanília|Gewürze|Especias|Epices|Koření|Spezie|Пряности|Przyprawy|Especiarias|Μπαχαρικα|香料系香调|スパイス|Specerijen|Začini|Mirodenii|التوابل|Прянощі|Амтлагчууд|스파이스|Baharatlar|Kryddor|תבלינים|Fűszerek
n2490|Vetiver|https://www.fragrantica.com/notes/Vetiver-2.html|Vetiveria zizanoides|vetivert, khus|Woods and mosses|Vetivers from different parts of the world differ a lot. For example, Haitian vetiver is clean and ethereal, while the Javanese one is smoky and dusty. If we have to generalize the scent, it is earthy, woody, green.|https://fimgs.net/mdimg/sastojci/t.2.jpg|https://fimgs.net/mdimg/sastojci/t2.2.jpg;https://fimgs.net/mdimg/sastojci/t3.2.jpg|https://fimgs.net/mdimg/sastojci/splash.2.jpg|12303|Vetiver|vetiver|Vétiver|Vetiver|Vetiver|Ветивер|Wetyweria|Vetiver|Βέτιβερ|香根草|ベチバー|Vetiver|Vetiver|vetiver|نجيل الهند|Ветивер|Ветивер|베티버|Vetiver|Vetiver|וטיבר|Vetiver|Hölzer & moose|Maderas y musgos|Bois et mousses|Dřeva a mechy|Legni e muschi|Деревья и мхи|Drewna i mchy|Madeiras & musgos|Ξυλα και βρυα|木质和苔藓类香调|ウッディ＆モス|Hout en mos|Drveće i mahovine|Lemn & muschi|الأخشاب و الطحالب|Дерева і мохи|Мод ба хөвд|우드 및 모스|Odunlar ve yosunlar|Trä och mossa|עצים ואזוב|Fák és mohák
n2493|Violet|https://www.fragrantica.com/notes/Violet-116.html|||Flowers|A sweet and powdery, airy and dewy floral note.|https://fimgs.net/mdimg/sastojci/t.116.jpg|https://fimgs.net/mdimg/sastojci/t2.116.jpg;https://fimgs.net/mdimg/sastojci/t3.116.jpg|https://fimgs.net/mdimg/sastojci/splash.116.jpg|6835|Veilchen|violeta|Violette|Fialka|Violetta|Фиалка|Fiołek|Violeta|Βιολέτα|紫罗兰（香菫菜）|すみれ|Viooltje|Ljubičica|violeta|البنفسج|Фіалка|Нил Цэцэг|제비꽃|Menekşe|Viol|סיגלית|Ibolya|Blumen|Flores|Fleurs|Květiny|Fiori|Цветы|Kwiaty|Flores|Λουλουδια|花香类香调|花|Bloemen|Cveće|Flori|الزهور|Квіти|Цэцэгсийн|플라워|Çiçekler|Blommor|פרחים|Virágok
n2497|Virginian Cedar|https://www.fragrantica.com/notes/Cedar-41.html|||Woods and mosses|An soft woody note coming from either the Atlas Mountains (Morocco) or the Virginia (US) cedarwood. There are also many cedar-smelling synthetics in use.|https://fimgs.net/mdimg/sastojci/t.41.jpg|https://fimgs.net/mdimg/sastojci/t2.41.jpg;https://fimgs.net/mdimg/sastojci/t3.41.jpg|https://fimgs.net/mdimg/sastojci/splash.41.jpg|251|Virginiazeder|cedro de Virginia|Cèdre de Virginie|Virginský cedr|Cedro della Virginia|Вирджинский кедр|Cedr Virginia|Cedro da Virgínia|Κέδρος Βιρτζίνιας|弗吉尼亚州雪松|バージニアシダー|Virginiaanse ceder|Kedar iz Virginije|cedru de Virginia|خشب الأرز من فرجينيا|Кедр з Вірджинії|Виржиниа Хуш|잣나무|Sedir|Cederträ|ארז וירג'יניה|Virginiai cédrus|Hölzer & moose|Maderas y musgos|Bois et mousses|Dřeva a mechy|Legni e muschi|Деревья и мхи|Drewna i mchy|Madeiras & musgos|Ξυλα και βρυα|木质和苔藓类香调|ウッディ＆モス|Hout en mos|Drveće i mahovine|Lemn & muschi|الأخشاب و الطحالب|Дерева і мохи|Мод ба хөвд|우드 및 모스|Odunlar ve yosunlar|Trä och mossa|עצים ואזוב|Fák és mohák
n2510|Whipped Cream|https://www.fragrantica.com/notes/Cream-454.html|||Sweets and gourmand smells|A fantasy note or aspect of a number of ingredients.|https://fimgs.net/mdimg/sastojci/t.454.jpg|https://fimgs.net/mdimg/sastojci/t2.454.jpg;https://fimgs.net/mdimg/sastojci/t3.454.jpg|https://fimgs.net/himg/o.88669.jpg|623|Schlagsahne|crema batida|Crème fouettée|Šlehačka|Panna Montata|Взбитые сливки|Bita śmietana|Chantilly|σαντιγύ|生奶油|ホイップクリーム|Slagroom|Šlag|frisca|الكريمة المخفوقة|Збиті Вершки|Хөвсгөр Крем|생크림|Krem şanti|Vispgrädde|קצפת|Tejszínhab|Naschwerk & gourmand|Aromas dulces y gourmand|Notes fruitées et gourmandes|Sladké a gurmánské vůně|Aromi dolci e gourmand|Сладкие и гурманские|Nuty słodkie i gourmand|Doces & cheiros gourmand|Γλυκες και gourmand μυρωδιες|糖果和美食类香调|スイーツ＆グルマン|Zoetigheden en gourmands|Slatki i gurmanski mirisi|Mirosuri dulci & gurmande|الحلوي و النكهات|Солодкі, гурманські запахи|Чихэрлэг ба гурманд үнэрүүд|달콤한 향 및 구어망드|Tatlilar ve gurme kokular|Sötsaker och gourmanddofter|ממתקים וריחות גורמאנד|Édességek és gourmand illatok
n2564|Woody Notes|https://www.fragrantica.com/notes/Woody-Notes-315.html|||Woods and mosses|Umbrella term used to refer to fragrance notes coming from woody materials (trees mostly, as well as some bushes -such as patchouli- or a few grasses -such as vetiver).|https://fimgs.net/mdimg/sastojci/t.315.jpg|https://fimgs.net/mdimg/sastojci/t2.315.jpg;https://fimgs.net/mdimg/sastojci/t3.315.jpg|https://fimgs.net/mdimg/sastojci/splash.315.jpg|5672|holzige Noten|notas amaderadas|Notes boisées|Dřevité tóny|Note Legnose|Древесные ноты|Nuty drzewne|Notas Amadeiradas|νότες  ξύλων|木质元素|ウッディーノート|Hout Noten|Drvene note|note lemnoase|الأخشاب|Деревні Ноти|Модлог Ноот|우디 노트|Odunsu Notlar|Träiga noter|תמציות עץ|Fás jegyek|Hölzer & moose|Maderas y musgos|Bois et mousses|Dřeva a mechy|Legni e muschi|Деревья и мхи|Drewna i mchy|Madeiras & musgos|Ξυλα και βρυα|木质和苔藓类香调|ウッディ＆モス|Hout en mos|Drveće i mahovine|Lemn & muschi|الأخشاب و الطحالب|Дерева і мохи|Мод ба хөвд|우드 및 모스|Odunlar ve yosunlar|Trä och mossa|עצים ואזוב|Fák és mohák
